<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/descriptor/11554-2>	Public expenditure
<http://zbw.eu/stw/descriptor/10029-5>	Economic power
<http://zbw.eu/stw/descriptor/12699-6>	Maintenance policy
<http://zbw.eu/stw/descriptor/21282-3>	Competitive advantage
<http://zbw.eu/stw/descriptor/19787-2>	Hygiene
<http://zbw.eu/stw/descriptor/14984-4>	Mineral water
<http://zbw.eu/stw/descriptor/16982-5>	Finland
<http://zbw.eu/stw/thsys/70929>	W.12.10  Transport research
<http://zbw.eu/stw/descriptor/14118-0>	Ornamental plant
<http://zbw.eu/stw/descriptor/29605-0>	Landless people
<http://zbw.eu/stw/descriptor/19145-0>	Intranet
<http://zbw.eu/stw/descriptor/29786-5>	Combinatorial auction
<http://zbw.eu/stw/descriptor/10125-2>	Capital productivity
<http://zbw.eu/stw/descriptor/11337-3>	Collective bargaining theory
<http://zbw.eu/stw/thsys/71060>	V.13.01.01  Unemployment
<http://zbw.eu/stw/descriptor/12724-5>	Mass production
<http://zbw.eu/stw/descriptor/27853-5>	Satisfaction
<http://zbw.eu/stw/thsys/73390>	N.05.03  Economic law
<http://zbw.eu/stw/descriptor/12935-6>	Tree nursery
<http://zbw.eu/stw/descriptor/19158-5>	Going concern
<http://zbw.eu/stw/thsys/73394>	N.01.01  Philosophy
<http://zbw.eu/stw/descriptor/15656-2>	Learning
<http://zbw.eu/stw/descriptor/19367-3>	Timber market
<http://zbw.eu/stw/descriptor/18008-1>	International agricultural trade
<http://zbw.eu/stw/descriptor/29441-4>	Homo economicus
<http://zbw.eu/stw/descriptor/13329-6>	Wastewater sector
<http://zbw.eu/stw/descriptor/19668-3>	Economic security
<http://zbw.eu/stw/descriptor/18067-6>	Liability
<http://zbw.eu/stw/descriptor/14110-2>	Fruit
<http://zbw.eu/stw/descriptor/20104-4>	Taylor rule
<http://zbw.eu/stw/descriptor/29602-6>	Water bodies
<http://zbw.eu/stw/descriptor/16739-0>	Marginalism
<http://zbw.eu/stw/descriptor/29909-1>	Multivariate distribution
<http://zbw.eu/stw/descriptor/29880-6>	Game-theoretic solution concept
<http://zbw.eu/stw/descriptor/11156-0>	Economics of crime
<http://zbw.eu/stw/descriptor/13443-1>	Agricultural geography
<http://zbw.eu/stw/descriptor/28405-6>	Flexicurity
<http://zbw.eu/stw/descriptor/17727-2>	Angola
<http://zbw.eu/stw/descriptor/12207-4>	Mathematical finance
<http://zbw.eu/stw/descriptor/18009-6>	Biofuel
<http://zbw.eu/stw/descriptor/29915-6>	Stationarity
<http://zbw.eu/stw/thsys/70893>	W.15  Bourses and securities trading
<http://zbw.eu/stw/descriptor/30086-2>	Indochina
<http://zbw.eu/stw/descriptor/16954-3>	Vorarlberg
<http://zbw.eu/stw/descriptor/15611-3>	Artificial intelligence
<http://zbw.eu/stw/descriptor/17413-4>	Ireland
<http://zbw.eu/stw/descriptor/10912-0>	Vertical integration
<http://zbw.eu/stw/descriptor/11231-5>	Internal labour market
<http://zbw.eu/stw/descriptor/18427-2>	Optoelectronics industry
<http://zbw.eu/stw/descriptor/14516-2>	Home audio product
<http://zbw.eu/stw/descriptor/14635-1>	Pyrotechnics
<http://zbw.eu/stw/descriptor/18238-5>	Molybdenum
<http://zbw.eu/stw/descriptor/16043-2>	Stock corporation law
<http://zbw.eu/stw/descriptor/11416-0>	Monetary history
<http://zbw.eu/stw/descriptor/13176-5>	Road construction
<http://zbw.eu/stw/descriptor/10752-3>	Austrian schilling
<http://zbw.eu/stw/descriptor/15365-6>	Instrumental variables
<http://zbw.eu/stw/descriptor/17922-4>	Guyana
<http://zbw.eu/stw/descriptor/26291-5>	Indians
<http://zbw.eu/stw/thsys/b>	B  Business economics
<http://zbw.eu/stw/descriptor/26760-3>	Surinamese (People)
<http://zbw.eu/stw/descriptor/21101-5>	Currency changeover
<http://zbw.eu/stw/thsys/70963>	W.10  Trade
<http://zbw.eu/stw/descriptor/29688-5>	Index derivative
<http://zbw.eu/stw/descriptor/26407-5>	Kurds
<http://zbw.eu/stw/descriptor/19502-2>	Union membership
<http://zbw.eu/stw/descriptor/29541-0>	International corporate law
<http://zbw.eu/stw/descriptor/13354-0>	Gambling
<http://zbw.eu/stw/descriptor/29421-3>	Postcolonialism
<http://zbw.eu/stw/descriptor/12027-6>	Real estate management
<http://zbw.eu/stw/descriptor/20401-5>	Integration
<http://zbw.eu/stw/descriptor/29924-5>	Critical management studies
<http://zbw.eu/stw/descriptor/14301-2>	Manganese
<http://zbw.eu/stw/descriptor/29968-6>	UN development goals
<http://zbw.eu/stw/thsys/182540>	W.19.03  Broadcasting Industry
<http://zbw.eu/stw/descriptor/13553-1>	Cargo shipping
<http://zbw.eu/stw/descriptor/12921-3>	Furniture industry
<http://zbw.eu/stw/descriptor/13293-1>	Credit insurance
<http://zbw.eu/stw/thsys/73305>	P.10.04  ICT equipment
<http://zbw.eu/stw/descriptor/12014-1>	Development land
<http://zbw.eu/stw/descriptor/11294-2>	Occupational status
<http://zbw.eu/stw/descriptor/11853-6>	Border region
<http://zbw.eu/stw/descriptor/13034-4>	Metal industry
<http://zbw.eu/stw/descriptor/13571-6>	Transport sociology
<http://zbw.eu/stw/descriptor/20817-2>	Fair trade
<http://zbw.eu/stw/descriptor/14359-6>	Ship propulsion
<http://zbw.eu/stw/descriptor/29593-2>	Space heating
<http://zbw.eu/stw/descriptor/29715-0>	European fiscal policy
<http://zbw.eu/stw/descriptor/10106-6>	Social welfare function
<http://zbw.eu/stw/descriptor/15970-3>	Legal policy
<http://zbw.eu/stw/descriptor/30073-4>	Validation
<http://zbw.eu/stw/descriptor/19748-5>	Aristocracy
<http://zbw.eu/stw/descriptor/16295-3>	National crisis
<http://zbw.eu/stw/descriptor/13077-0>	Electrician trade
<http://zbw.eu/stw/descriptor/10196-0>	Cobweb
<http://zbw.eu/stw/descriptor/13272-2>	Postal banking
<http://zbw.eu/stw/descriptor/27687-3>	Sport event
<http://zbw.eu/stw/descriptor/19510-3>	In-kind transfer
<http://zbw.eu/stw/descriptor/12896-4>	Auditor's report
<http://zbw.eu/stw/descriptor/11638-3>	Tax compliance
<http://zbw.eu/stw/descriptor/18018-5>	Consumer cooperative
<http://zbw.eu/stw/thsys/70241>	N.05.02  Private law
<http://zbw.eu/stw/descriptor/18532-5>	Retail marketing
<http://zbw.eu/stw/descriptor/18937-0>	Regional broadcast
<http://zbw.eu/stw/descriptor/12230-2>	Financial analysis
<http://zbw.eu/stw/descriptor/10987-4>	Economic policy
<http://zbw.eu/stw/descriptor/15699-5>	Prehistory
<http://zbw.eu/stw/thsys/71097>	V.07.03.02  International economic policy
<http://zbw.eu/stw/descriptor/29826-5>	Hybrid vehicle
<http://zbw.eu/stw/thsys/71055>	V.13.07.04  Service workers
<http://zbw.eu/stw/descriptor/10598-1>	Technical cooperation
<http://zbw.eu/stw/descriptor/12446-0>	Income shifting
<http://zbw.eu/stw/descriptor/18130-4>	Economic ethics
<http://zbw.eu/stw/descriptor/19472-6>	Urban labour market
<http://zbw.eu/stw/descriptor/19424-3>	Insurance tax
<http://zbw.eu/stw/descriptor/29941-5>	Multidimensional scaling
<http://zbw.eu/stw/descriptor/12936-4>	Mountain farming
<http://zbw.eu/stw/descriptor/10213-5>	Price
<http://zbw.eu/stw/descriptor/19775-2>	Multilingualism
<http://zbw.eu/stw/descriptor/12201-2>	Executive board
<http://zbw.eu/stw/descriptor/11357-4>	School of general education
<http://zbw.eu/stw/descriptor/15711-6>	Social movement
<http://zbw.eu/stw/descriptor/26556-2>	Eastern Europeans
<http://zbw.eu/stw/descriptor/18968-3>	Single-parent family
<http://zbw.eu/stw/descriptor/18987-6>	Forest harvest
<http://zbw.eu/stw/descriptor/16481-6>	Youth protection
<http://zbw.eu/stw/descriptor/18184-2>	Strategic management control
<http://zbw.eu/stw/descriptor/16981-0>	Zug
<http://zbw.eu/stw/descriptor/18078-1>	Engineering plastics
<http://zbw.eu/stw/descriptor/29660-6>	Performance budgeting
<http://zbw.eu/stw/descriptor/30074-2>	Atlantic World
<http://zbw.eu/stw/descriptor/14212-1>	Gasoline
<http://zbw.eu/stw/descriptor/18831-2>	Charitable organization
<http://zbw.eu/stw/descriptor/26287-3>	Hebrew
<http://zbw.eu/stw/descriptor/18151-3>	Economic principle
<http://zbw.eu/stw/descriptor/14057-1>	Flax
<http://zbw.eu/stw/descriptor/18838-2>	Cooperative movement
<http://zbw.eu/stw/descriptor/29740-1>	BRICS countries
<http://zbw.eu/stw/thsys/70986>	W.06.11  Food industry
<http://zbw.eu/stw/descriptor/26539-2>	Norwegians
<http://zbw.eu/stw/descriptor/14534-0>	Copy machine
<http://zbw.eu/stw/descriptor/11506-6>	Inflation
<http://zbw.eu/stw/descriptor/19464-5>	Rural industry
<http://zbw.eu/stw/descriptor/19460-6>	Rural economy
<http://zbw.eu/stw/descriptor/17016-0>	Southern Europe
<http://zbw.eu/stw/descriptor/15923-5>	Jews
<http://zbw.eu/stw/descriptor/19802-4>	Data migration
<http://zbw.eu/stw/descriptor/12720-6>	Cellular manufacturing
<http://zbw.eu/stw/descriptor/26856-4>	Belarusian
<http://zbw.eu/stw/descriptor/11526-0>	Public economics
<http://zbw.eu/stw/thsys/70956>	W.10.05.01  Retail management
<http://zbw.eu/stw/descriptor/19641-2>	Population economics
<http://zbw.eu/stw/thsys/70899>	W.14.01.02  Economics of banking
<http://zbw.eu/stw/descriptor/16136-2>	Works constitution
<http://zbw.eu/stw/descriptor/13673-5>	Text
<http://zbw.eu/stw/descriptor/10675-2>	Terms of trade
<http://zbw.eu/stw/descriptor/10556-3>	Conditionality
<http://zbw.eu/stw/descriptor/26786-6>	Taiwanese
<http://zbw.eu/stw/descriptor/18625-5>	Transport statistics
<http://zbw.eu/stw/descriptor/29816-1>	Political attitudes
<http://zbw.eu/stw/descriptor/15773-5>	Environmental costs
<http://zbw.eu/stw/thsys/71099>	V.07.04  International monetary economics
<http://zbw.eu/stw/descriptor/26310-6>	Indonesians
<http://zbw.eu/stw/descriptor/19577-6>	State space model
<http://zbw.eu/stw/descriptor/12612-2>	Ergonomics
<http://zbw.eu/stw/descriptor/29748-6>	European social fund
<http://zbw.eu/stw/descriptor/13301-0>	Services
<http://zbw.eu/stw/thsys/70928>	W.12.10.01  Transport economics
<http://zbw.eu/stw/descriptor/13307-2>	Hospitality industry
<http://zbw.eu/stw/descriptor/12613-0>	Safety engineering
<http://zbw.eu/stw/descriptor/15806-2>	Social norm
<http://zbw.eu/stw/descriptor/19343-3>	Cattle market
<http://zbw.eu/stw/descriptor/12361-1>	Accounting obligations
<http://zbw.eu/stw/descriptor/10072-4>	Core
<http://zbw.eu/stw/descriptor/30176-1>	Disruptive innovation
<http://zbw.eu/stw/descriptor/29906-0>	Discrete distribution
<http://zbw.eu/stw/descriptor/10271-5>	Flow of funds
<http://zbw.eu/stw/thsys/71058>	V.13.06  Occupations
<http://zbw.eu/stw/descriptor/10268-1>	Disposable income
<http://zbw.eu/stw/descriptor/11718-5>	Public goods
<http://zbw.eu/stw/descriptor/10338-6>	Business cycle
<http://zbw.eu/stw/descriptor/19686-1>	State intervention
<http://zbw.eu/stw/descriptor/14464-2>	Battery
<http://zbw.eu/stw/descriptor/13591-0>	Travel time
<http://zbw.eu/stw/descriptor/10845-3>	Illicit trade
<http://zbw.eu/stw/descriptor/11370-5>	University of applied sciences
<http://zbw.eu/stw/descriptor/19539-0>	Blood service
<http://zbw.eu/stw/descriptor/12651-6>	Material requirements
<http://zbw.eu/stw/descriptor/18076-5>	Causality analysis
<http://zbw.eu/stw/descriptor/14731-5>	Veterinary drug
<http://zbw.eu/stw/descriptor/12983-2>	Natural gas production
<http://zbw.eu/stw/descriptor/29577-0>	Climate policy
<http://zbw.eu/stw/descriptor/14765-2>	Visual display unit
<http://zbw.eu/stw/descriptor/14525-1>	Home video product
<http://zbw.eu/stw/descriptor/13437-3>	Land rental
<http://zbw.eu/stw/thsys/71081>	V.09.03  Public Budget
<http://zbw.eu/stw/descriptor/16405-1>	Ideology
<http://zbw.eu/stw/descriptor/17471-4>	Estonia
<http://zbw.eu/stw/descriptor/20449-5>	International works council
<http://zbw.eu/stw/descriptor/10567-5>	Special economic zone
<http://zbw.eu/stw/descriptor/11061-4>	Planned economy
<http://zbw.eu/stw/descriptor/15330-4>	Correlation
<http://zbw.eu/stw/descriptor/29657-2>	Life cycle costing
<http://zbw.eu/stw/descriptor/10541-2>	Unbalanced growth
<http://zbw.eu/stw/descriptor/13873-4>	Fishermen
<http://zbw.eu/stw/descriptor/19734-2>	Philosophy of economics
<http://zbw.eu/stw/descriptor/12997-5>	Fertilizer industry
<http://zbw.eu/stw/descriptor/11943-5>	Regional growth
<http://zbw.eu/stw/descriptor/19630-0>	Wildlife conservation
<http://zbw.eu/stw/descriptor/11049-1>	Policy convergence
<http://zbw.eu/stw/descriptor/19249-2>	Optimal firm size
<http://zbw.eu/stw/descriptor/17669-4>	Mozambique
<http://zbw.eu/stw/descriptor/29621-2>	Long-term care financing
<http://zbw.eu/stw/descriptor/13824-3>	Insurance premium
<http://zbw.eu/stw/descriptor/12194-1>	Legal form of organization
<http://zbw.eu/stw/descriptor/18486-0>	Manufacturing occupations
<http://zbw.eu/stw/descriptor/29646-0>	Working capital
<http://zbw.eu/stw/descriptor/18921-1>	Cultural economics
<http://zbw.eu/stw/descriptor/13188-5>	Agricultural trade
<http://zbw.eu/stw/descriptor/29549-5>	International antitrust law
<http://zbw.eu/stw/thsys/70814>	W.33  Households
<http://zbw.eu/stw/descriptor/19030-3>	Definition
<http://zbw.eu/stw/descriptor/10555-5>	Development aid
<http://zbw.eu/stw/descriptor/13615-5>	Container transport
<http://zbw.eu/stw/descriptor/19779-1>	Public speaking skills
<http://zbw.eu/stw/descriptor/11973-3>	Urban quarter
<http://zbw.eu/stw/descriptor/29996-1>	Action research
<http://zbw.eu/stw/thsys/70996>	W.06.04  Electrical and electronics industry
<http://zbw.eu/stw/descriptor/13464-0>	Commercial law
<http://zbw.eu/stw/descriptor/26882-3>	Concept of man
<http://zbw.eu/stw/descriptor/11751-0>	Wealth distribution
<http://zbw.eu/stw/descriptor/10570-2>	Import substitution
<http://zbw.eu/stw/descriptor/15655-4>	Arts
<http://zbw.eu/stw/descriptor/17590-3>	Thailand
<http://zbw.eu/stw/descriptor/11342-3>	Wage setting
<http://zbw.eu/stw/thsys/184936>	W.04.02.01  Wastewater sector
<http://zbw.eu/stw/descriptor/18962-1>	Reverse logistics
<http://zbw.eu/stw/descriptor/15061-5>	Demographic statistics
<http://zbw.eu/stw/descriptor/10171-2>	Income elasticity of demand
<http://zbw.eu/stw/descriptor/10771-6>	Monetary union
<http://zbw.eu/stw/descriptor/10265-0>	National income
<http://zbw.eu/stw/descriptor/18422-5>	Automobile workers
<http://zbw.eu/stw/descriptor/16529-4>	Disability policy
<http://zbw.eu/stw/descriptor/29875-6>	Airfare
<http://zbw.eu/stw/thsys/70944>	W.11  Hospitality Industry
<http://zbw.eu/stw/descriptor/14157-4>	Tropical wood
<http://zbw.eu/stw/descriptor/13282-6>	Insurance intermediation
<http://zbw.eu/stw/descriptor/13358-6>	Public library
<http://zbw.eu/stw/descriptor/29973-6>	Univariate analysis
<http://zbw.eu/stw/descriptor/19504-5>	Night work
<http://zbw.eu/stw/descriptor/18992-6>	Alcohol policy
<http://zbw.eu/stw/descriptor/10838-0>	Import
<http://zbw.eu/stw/descriptor/10605-2>	International economy
<http://zbw.eu/stw/descriptor/18118-1>	Risk management
<http://zbw.eu/stw/descriptor/16946-2>	Carinthia
<http://zbw.eu/stw/descriptor/26450-4>	Maori (People)
<http://zbw.eu/stw/descriptor/14513-1>	Pre-recorded media
<http://zbw.eu/stw/descriptor/11962-1>	Regional statistics
<http://zbw.eu/stw/descriptor/26447-0>	Malays
<http://zbw.eu/stw/descriptor/12945-3>	Agriculture
<http://zbw.eu/stw/descriptor/13001-5>	Petrochemical industry
<http://zbw.eu/stw/descriptor/29976-0>	Conditional probability
<http://zbw.eu/stw/descriptor/16477-4>	Family policy
<http://zbw.eu/stw/descriptor/13809-6>	Fire insurance
<http://zbw.eu/stw/descriptor/11527-5>	Social discount rate
<http://zbw.eu/stw/descriptor/26844-4>	Walloons
<http://zbw.eu/stw/descriptor/15429-6>	Systems theory
<http://zbw.eu/stw/descriptor/18490-2>	Production location
<http://zbw.eu/stw/descriptor/30088-5>	Caspian Sea
<http://zbw.eu/stw/descriptor/13431-1>	Agricultural market
<http://zbw.eu/stw/descriptor/18082-3>	Innovation diffusion
<http://zbw.eu/stw/descriptor/12024-5>	Land improvement
<http://zbw.eu/stw/descriptor/13343-5>	Research institute
<http://zbw.eu/stw/descriptor/11197-0>	Home-based work
<http://zbw.eu/stw/descriptor/17592-6>	Viet Nam
<http://zbw.eu/stw/descriptor/10899-1>	Horizontal integration
<http://zbw.eu/stw/descriptor/28225-1>	Tacit knowledge
<http://zbw.eu/stw/thsys/70874>	W.21.02  Advertising industry and opinion polling
<http://zbw.eu/stw/descriptor/15759-6>	Environment
<http://zbw.eu/stw/descriptor/14933-0>	Frozen food
<http://zbw.eu/stw/descriptor/13120-4>	Sawmill industry
<http://zbw.eu/stw/descriptor/10813-2>	Capital exports
<http://zbw.eu/stw/descriptor/29804-1>	Brand loyalty
<http://zbw.eu/stw/descriptor/16769-5>	Library building
<http://zbw.eu/stw/descriptor/12955-0>	Animal husbandry
<http://zbw.eu/stw/descriptor/10791-0>	Balance of payments
<http://zbw.eu/stw/descriptor/18395-3>	Consumer goods marketing
<http://zbw.eu/stw/descriptor/29324-1>	Media market
<http://zbw.eu/stw/descriptor/12261-5>	Preference share
<http://zbw.eu/stw/thsys/71078>	V.09.05  Public debt
<http://zbw.eu/stw/descriptor/11194-6>	Leisure
<http://zbw.eu/stw/descriptor/15251-0>	Bias
<http://zbw.eu/stw/descriptor/19383-5>	Fishing industry
<http://zbw.eu/stw/descriptor/18608-5>	Regional air transport
<http://zbw.eu/stw/descriptor/18639-1>	Tourism marketing
<http://zbw.eu/stw/descriptor/30016-2>	Modern history
<http://zbw.eu/stw/descriptor/29839-3>	EU industrial policy
<http://zbw.eu/stw/descriptor/12565-6>	Human resource planning
<http://zbw.eu/stw/descriptor/12917-1>	Micro business
<http://zbw.eu/stw/descriptor/19537-4>	Beta risk
<http://zbw.eu/stw/descriptor/11901-0>	Housing retrofit
<http://zbw.eu/stw/descriptor/13215-0>	Timber trade
<http://zbw.eu/stw/thsys/70180>	V.02  Microeconomics
<http://zbw.eu/stw/descriptor/13002-3>	Pharmaceutical industry
<http://zbw.eu/stw/descriptor/13173-4>	Building construction
<http://zbw.eu/stw/descriptor/29613-1>	Palms
<http://zbw.eu/stw/descriptor/18166-4>	Weekend working
<http://zbw.eu/stw/descriptor/29750-5>	EU economic policy
<http://zbw.eu/stw/descriptor/12807-1>	Product life cycle
<http://zbw.eu/stw/descriptor/13647-6>	Postal law
<http://zbw.eu/stw/descriptor/30115-0>	Eurasian Economic Union
<http://zbw.eu/stw/thsys/71044>	B.02.03  Capital budgeting
<http://zbw.eu/stw/descriptor/18226-5>	Slovenia
<http://zbw.eu/stw/descriptor/12863-5>	Group taxation
<http://zbw.eu/stw/thsys/186755>	B.03.02.03  Internal audit and management control
<http://zbw.eu/stw/descriptor/26392-6>	Korean
<http://zbw.eu/stw/descriptor/14789-2>	Wood panel
<http://zbw.eu/stw/descriptor/11687-4>	Basic income
<http://zbw.eu/stw/descriptor/30106-1>	Tokyo
<http://zbw.eu/stw/thsys/v>	V  Economics
<http://zbw.eu/stw/descriptor/17696-1>	Burkina Faso
<http://zbw.eu/stw/descriptor/29716-5>	Infrastructure financing
<http://zbw.eu/stw/descriptor/13851-0>	Construction costs
<http://zbw.eu/stw/thsys/70300>	B.05.02  Warehouse management
<http://zbw.eu/stw/descriptor/26678-2>	Serbian
<http://zbw.eu/stw/thsys/70941>	W.12.01  Railway transport
<http://zbw.eu/stw/thsys/186753>	B.03.02.01  Cost accounting
<http://zbw.eu/stw/descriptor/19813-6>	Punishment
<http://zbw.eu/stw/descriptor/11543-0>	Charges
<http://zbw.eu/stw/descriptor/14095-0>	Rice
<http://zbw.eu/stw/descriptor/19143-4>	Deferred taxes
<http://zbw.eu/stw/descriptor/18097-4>	Fundraising
<http://zbw.eu/stw/descriptor/18160-2>	Territorial competition
<http://zbw.eu/stw/descriptor/29845-1>	Urban commercial transport
<http://zbw.eu/stw/descriptor/11479-4>	Monetary targeting
<http://zbw.eu/stw/descriptor/18278-0>	Commodity science
<http://zbw.eu/stw/descriptor/18870-6>	School law
<http://zbw.eu/stw/descriptor/12062-4>	Transnational corporation
<http://zbw.eu/stw/descriptor/15763-1>	Pollution
<http://zbw.eu/stw/descriptor/19397-1>	Fertilizer market
<http://zbw.eu/stw/descriptor/24857-5>	Path dependence
<http://zbw.eu/stw/descriptor/16301-6>	Ombudsman
<http://zbw.eu/stw/descriptor/30141-6>	Stress test
<http://zbw.eu/stw/descriptor/13156-4>	Feed industry
<http://zbw.eu/stw/descriptor/15446-6>	Cooperative game
<http://zbw.eu/stw/descriptor/12212-4>	Portfolio selection
<http://zbw.eu/stw/descriptor/19201-2>	Windfall gains
<http://zbw.eu/stw/descriptor/17568-3>	Japan
<http://zbw.eu/stw/descriptor/17534-6>	Russia
<http://zbw.eu/stw/descriptor/15790-5>	Psychology
<http://zbw.eu/stw/descriptor/18995-0>	Commodity market
<http://zbw.eu/stw/descriptor/15647-3>	Islam
<http://zbw.eu/stw/thsys/71051>	B.04.03  Compensation systems and employee benefits
<http://zbw.eu/stw/descriptor/15793-6>	Perception
<http://zbw.eu/stw/thsys/71087>	V.07.04.02  Balance of payments
<http://zbw.eu/stw/descriptor/12781-0>	Branch office
<http://zbw.eu/stw/descriptor/18107-6>	Disinvestment
<http://zbw.eu/stw/descriptor/13466-3>	Trade intermediation
<http://zbw.eu/stw/descriptor/19353-0>	Euro
<http://zbw.eu/stw/descriptor/12783-3>	Trade fair
<http://zbw.eu/stw/descriptor/12381-2>	Financial statement
<http://zbw.eu/stw/descriptor/27144-6>	Target-performance comparison
<http://zbw.eu/stw/descriptor/29658-0>	Residual income
<http://zbw.eu/stw/descriptor/29726-2>	EU foreign policy
<http://zbw.eu/stw/descriptor/30039-4>	Athletics
<http://zbw.eu/stw/descriptor/18731-6>	Electronic trading
<http://zbw.eu/stw/descriptor/16594-0>	Progress
<http://zbw.eu/stw/descriptor/13097-1>	Sporting goods industry
<http://zbw.eu/stw/descriptor/19111-3>	Workplace
<http://zbw.eu/stw/descriptor/11309-1>	World of work
<http://zbw.eu/stw/descriptor/13290-0>	Savings bank
<http://zbw.eu/stw/descriptor/19113-6>	Outsourcing
<http://zbw.eu/stw/descriptor/14353-4>	Aircraft propulsion
<http://zbw.eu/stw/descriptor/19287-1>	Freiwirtschaft
<http://zbw.eu/stw/descriptor/29620-4>	Birth
<http://zbw.eu/stw/descriptor/18137-4>	Organic farming
<http://zbw.eu/stw/descriptor/14014-5>	Social workers
<http://zbw.eu/stw/descriptor/17599-6>	Myanmar
<http://zbw.eu/stw/descriptor/29799-3>	Customer integration
<http://zbw.eu/stw/descriptor/28813-5>	Health care marketing
<http://zbw.eu/stw/descriptor/19691-1>	Local self-government
<http://zbw.eu/stw/descriptor/29566-5>	Emergency management
<http://zbw.eu/stw/descriptor/13840-5>	Homeownership
<http://zbw.eu/stw/descriptor/10710-5>	Tariffs
<http://zbw.eu/stw/descriptor/29704-5>	Prospect theory
<http://zbw.eu/stw/descriptor/29900-5>	Habit-persistence hypothesis
<http://zbw.eu/stw/descriptor/18165-6>	Environmental management
<http://zbw.eu/stw/descriptor/26757-6>	South African
<http://zbw.eu/stw/thsys/70465>	P.02  Forest products
<http://zbw.eu/stw/descriptor/11713-1>	Fiscal incidence
<http://zbw.eu/stw/descriptor/18224-2>	Czech Republic
<http://zbw.eu/stw/descriptor/20906-3>	Cross-subsidization
<http://zbw.eu/stw/descriptor/28601-6>	School attendance
<http://zbw.eu/stw/descriptor/19858-5>	Gun law
<http://zbw.eu/stw/descriptor/18959-4>	Waste prevention
<http://zbw.eu/stw/descriptor/11728-2>	Fiscal policy
<http://zbw.eu/stw/thsys/71108>	V.05.04.03  Money market
<http://zbw.eu/stw/descriptor/17745-0>	Egypt
<http://zbw.eu/stw/descriptor/19141-1>	Customers
<http://zbw.eu/stw/descriptor/17782-1>	Guatemala
<http://zbw.eu/stw/descriptor/16357-0>	Electoral system
<http://zbw.eu/stw/thsys/180781>	B.04.01.02  Working time arrangement
<http://zbw.eu/stw/descriptor/15835-2>	Informal group
<http://zbw.eu/stw/descriptor/19632-3>	Coastal management
<http://zbw.eu/stw/descriptor/29223-0>	Semantic web
<http://zbw.eu/stw/descriptor/19210-1>	Willingness to pay
<http://zbw.eu/stw/descriptor/19720-6>	Military policy
<http://zbw.eu/stw/descriptor/19362-6>	Rural poverty
<http://zbw.eu/stw/descriptor/11658-4>	Real property transfer tax
<http://zbw.eu/stw/thsys/180783>	B.04.02.01  Recruitment
<http://zbw.eu/stw/thsys/73337>	N.05.04  Fiscal law
<http://zbw.eu/stw/descriptor/30058-0>	Extortion
<http://zbw.eu/stw/descriptor/19655-5>	Knowledge management
<http://zbw.eu/stw/descriptor/11994-2>	Urban housing market
<http://zbw.eu/stw/descriptor/17743-4>	Central Africa
<http://zbw.eu/stw/descriptor/12994-4>	Synthetic fibre industry
<http://zbw.eu/stw/descriptor/13984-2>	Members of Parliament
<http://zbw.eu/stw/descriptor/10949-5>	Market definition
<http://zbw.eu/stw/descriptor/12254-2>	Leasing
<http://zbw.eu/stw/descriptor/27199-2>	Resource dependence approach
<http://zbw.eu/stw/descriptor/17176-6>	Yugoslavia (until 1990)
<http://zbw.eu/stw/descriptor/19375-4>	Flypaper effect
<http://zbw.eu/stw/descriptor/11547-6>	Tax
<http://zbw.eu/stw/descriptor/29328-0>	Media competition
<http://zbw.eu/stw/descriptor/19790-6>	Epidemic
<http://zbw.eu/stw/descriptor/14328-3>	Tractor
<http://zbw.eu/stw/descriptor/14408-5>	Heat pump
<http://zbw.eu/stw/descriptor/15810-4>	Socialization
<http://zbw.eu/stw/thsys/73353>	N.10.01.01  Geography
<http://zbw.eu/stw/descriptor/16517-4>	Broadcasting policy
<http://zbw.eu/stw/descriptor/19485-4>	Fire
<http://zbw.eu/stw/descriptor/17622-2>	Iran
<http://zbw.eu/stw/descriptor/28373-0>	Capital structure theory
<http://zbw.eu/stw/descriptor/13351-6>	Library
<http://zbw.eu/stw/descriptor/10827-5>	Cross-border taxation
<http://zbw.eu/stw/descriptor/14174-4>	Electricity
<http://zbw.eu/stw/descriptor/14161-6>	Fishery product
<http://zbw.eu/stw/descriptor/19466-1>	Tourism research
<http://zbw.eu/stw/descriptor/18612-0>	Business travel
<http://zbw.eu/stw/descriptor/12081-0>	Middle management
<http://zbw.eu/stw/thsys/70039>	V.06  Economic systems
<http://zbw.eu/stw/descriptor/26101-1>	Arabs
<http://zbw.eu/stw/descriptor/14962-0>	Animal fat
<http://zbw.eu/stw/descriptor/29325-6>	Media management
<http://zbw.eu/stw/descriptor/26292-3>	Greeks
<http://zbw.eu/stw/descriptor/30038-6>	Sports competition
<http://zbw.eu/stw/descriptor/10382-3>	Monetary policy
<http://zbw.eu/stw/descriptor/29868-3>	System dynamics
<http://zbw.eu/stw/descriptor/29751-3>	New open economy macroeconomics
<http://zbw.eu/stw/descriptor/17626-1>	Jordan
<http://zbw.eu/stw/descriptor/11415-2>	Money
<http://zbw.eu/stw/descriptor/12793-0>	Low-cost strategy
<http://zbw.eu/stw/descriptor/17658-2>	Djibouti
<http://zbw.eu/stw/descriptor/19583-4>	Variational method
<http://zbw.eu/stw/descriptor/16364-3>	Green party
