<http://www.yso.fi/onto/yso/p19899>	Häme Castle
<http://www.yso.fi/onto/yso/p26740>	group guidance
<http://www.yso.fi/onto/yso/p30233>	Holocaust denial
<http://www.yso.fi/onto/yso/p29815>	duos (ensembles)
<http://www.yso.fi/onto/yso/p37819>	sensory marketing
<http://www.yso.fi/onto/yso/p19718>	Photo CD
<http://www.yso.fi/onto/yso/p30027>	soulblues
<http://www.yso.fi/onto/yso/p185450>	Arkhangelsk Oblast
<http://www.yso.fi/onto/yso/p12400>	language centres
<http://www.yso.fi/onto/yso/p1372>	relations
<http://www.yso.fi/onto/yso/p17224>	dissociative disorder
<http://www.yso.fi/onto/yso/p14224>	communications administration
<http://www.yso.fi/onto/yso/p13307>	buttocks
<http://www.yso.fi/onto/yso/p30165>	halibut
<http://www.yso.fi/onto/yso/p28199>	Parisians
<http://www.yso.fi/onto/yso/p21137>	papillomatosis
<http://www.yso.fi/onto/yso/p12540>	complications
<http://www.yso.fi/onto/yso/p22514>	Jakarta Declaration
<http://www.yso.fi/onto/yso/p28636>	qi
<http://www.yso.fi/onto/yso/p1083>	turnover tax
<http://www.yso.fi/onto/yso/p37992>	melodramas (drama)
<http://www.yso.fi/onto/yso/p14062>	osteopathy
<http://www.yso.fi/onto/yso/p403>	service businesses
<http://www.yso.fi/onto/yso/p3808>	imagery training
<http://www.yso.fi/onto/yso/p12581>	fuel tanks
<http://www.yso.fi/onto/yso/p9378>	marketplaces
<http://www.yso.fi/onto/yso/p19465>	Scorpaeniformes
<http://www.yso.fi/onto/yso/p11919>	roseroot
<http://www.yso.fi/onto/yso/p29962>	mbalax
<http://www.yso.fi/onto/yso/p20054>	Louhisaari manor
<http://www.yso.fi/onto/yso/p20108>	inkle bands
<http://www.yso.fi/onto/yso/p109225>	Benin
<http://www.yso.fi/onto/yso/p22967>	soldier's graves
<http://www.yso.fi/onto/yso/p16533>	General Strike of 1905
<http://www.yso.fi/onto/yso/p22957>	Viisikanta Prize
<http://www.yso.fi/onto/yso/p109005>	Venetpalo
<http://www.yso.fi/onto/yso/p20612>	permafrost
<http://www.yso.fi/onto/yso/p6261>	radiologists
<http://www.yso.fi/onto/yso/p28745>	Anas crecca
<http://www.yso.fi/onto/yso/p8758>	Lutheranism
<http://www.yso.fi/onto/yso/p110167>	Iisalmen maalaiskunta
<http://www.yso.fi/onto/yso/p6756>	laboratory tests
<http://www.yso.fi/onto/yso/p108374>	Rhodesia
<http://www.yso.fi/onto/yso/p11201>	fans (air conditioning equipment)
<http://www.yso.fi/onto/yso/p13871>	Thai language
<http://www.yso.fi/onto/yso/p12641>	epiphytes
<http://www.yso.fi/onto/yso/p21921>	alcohol ignition interlock devices
<http://www.yso.fi/onto/yso/p29213>	Sadri language literature
<http://www.yso.fi/onto/yso/p15502>	environmental boards
<http://www.yso.fi/onto/yso/p26460>	RAI system
<http://www.yso.fi/onto/yso/p12208>	nonsense (literary styles)
<http://www.yso.fi/onto/yso/p10359>	nephroblastoma
<http://www.yso.fi/onto/yso/p26369>	public interest
<http://www.yso.fi/onto/yso/p212133>	Metsola
<http://www.yso.fi/onto/yso/p6077>	aquarium plants
<http://www.yso.fi/onto/yso/p11394>	chief executive officers
<http://www.yso.fi/onto/yso/p8538>	judicial murder
<http://www.yso.fi/onto/yso/p10312>	law of obligations
<http://www.yso.fi/onto/yso/p8744>	allusions
<http://www.yso.fi/onto/yso/p6141>	maladjustment
<http://www.yso.fi/onto/yso/p18484>	primary elections
<http://www.yso.fi/onto/yso/p23476>	routing
<http://www.yso.fi/onto/yso/p28841>	general will
<http://www.yso.fi/onto/yso/p11610>	tactile sense
<http://www.yso.fi/onto/yso/p28874>	long-distance runners
<http://www.yso.fi/onto/yso/p9618>	process writing
<http://www.yso.fi/onto/yso/p9304>	ASB
<http://www.yso.fi/onto/yso/p105169>	Pertteli
<http://www.yso.fi/onto/yso/p12322>	diet cooks
<http://www.yso.fi/onto/yso/p37922>	biocides
<http://www.yso.fi/onto/yso/p4949>	historicism (styles)
<http://www.yso.fi/onto/yso/p20242>	isocyanates
<http://www.yso.fi/onto/yso/p23087>	pedagogical planning
<http://www.yso.fi/onto/yso/p10223>	evaluation research
<http://www.yso.fi/onto/yso/p1756>	vegetation
<http://www.yso.fi/onto/yso/p17813>	aesthetic education
<http://www.yso.fi/onto/yso/p17660>	dioceses
<http://www.yso.fi/onto/yso/p19429>	classics
<http://www.yso.fi/onto/yso/p15588>	turn of the millennium
<http://www.yso.fi/onto/yso/p28848>	lifestyle programmes
<http://www.yso.fi/onto/yso/p94107>	Southern Ostrobothnia
<http://www.yso.fi/onto/yso/p27045>	powder coating
<http://www.yso.fi/onto/yso/p110054>	Kiikoinen
<http://www.yso.fi/onto/yso/p729>	rearmament
<http://www.yso.fi/onto/yso/p28321>	Proto-Samic language
<http://www.yso.fi/onto/yso/p4033>	perceptual psychology
<http://www.yso.fi/onto/yso/p1386>	alcoholic beverages
<http://www.yso.fi/onto/yso/p18714>	Lempisaari manor
<http://www.yso.fi/onto/yso/p21559>	asahi
<http://www.yso.fi/onto/yso/p18808>	printing machines
<http://www.yso.fi/onto/yso/p3161>	water management
<http://www.yso.fi/onto/yso/p26243>	Coptics
<http://www.yso.fi/onto/yso/p12340>	all-terrain vehicles
<http://www.yso.fi/onto/yso/p16159>	environmental construction
<http://www.yso.fi/onto/yso/p19999>	Androsace septentrionalis
<http://www.yso.fi/onto/yso/p7550>	Zingiberaceae
<http://www.yso.fi/onto/yso/p16115>	balconies
<http://www.yso.fi/onto/yso/p9882>	holiday
<http://www.yso.fi/onto/yso/p28697>	abstract games
<http://www.yso.fi/onto/yso/p24547>	precipices
<http://www.yso.fi/onto/yso/p27849>	kilometre tax
<http://www.yso.fi/onto/yso/p28710>	documentary series
<http://www.yso.fi/onto/yso/p14055>	GLOBE Program
<http://www.yso.fi/onto/yso/p185105>	Tattarisuo
<http://www.yso.fi/onto/yso/p18776>	bed and breakfast
<http://www.yso.fi/onto/yso/p17987>	occupational retraining
<http://www.yso.fi/onto/yso/p199>	deceased war heroes
<http://www.yso.fi/onto/yso/p128090>	Tarvola
<http://www.yso.fi/onto/yso/p19957>	Eurasian three-toed woodpecker
<http://www.yso.fi/onto/yso/p20093>	duathlon
<http://www.yso.fi/onto/yso/p8928>	putrefaction
<http://www.yso.fi/onto/yso/p14010>	double stars
<http://www.yso.fi/onto/yso/p16179>	occupational structure
<http://www.yso.fi/onto/yso/p483>	naalbinding technique
<http://www.yso.fi/onto/yso/p25282>	graphic characters
<http://www.yso.fi/onto/yso/p1722>	uncertainty
<http://www.yso.fi/onto/yso/p2061>	war industry
<http://www.yso.fi/onto/yso/p3176>	songbooks
<http://www.yso.fi/onto/yso/p29780>	phrasing (music)
<http://www.yso.fi/onto/yso/p108076>	Gotland
<http://www.yso.fi/onto/yso/p28347>	system design
<http://www.yso.fi/onto/yso/p11707>	albatrosses
<http://www.yso.fi/onto/yso/p105258>	Kokemäenjoki
<http://www.yso.fi/onto/yso/p13026>	birth
<http://www.yso.fi/onto/yso/p116949>	Nyasaland
<http://www.yso.fi/onto/yso/p2852>	Hutu people
<http://www.yso.fi/onto/yso/p94141>	Hitis
<http://www.yso.fi/onto/yso/p2676>	lymph nodes
<http://www.yso.fi/onto/yso/p29063>	detoxification diet
<http://www.yso.fi/onto/yso/p3899>	animal young
<http://www.yso.fi/onto/yso/p18433>	trichloroacetic acid
<http://www.yso.fi/onto/yso/p37821>	induction loops
<http://www.yso.fi/onto/yso/p27641>	interfaces (computer programmes)
<http://www.yso.fi/onto/yso/p29420>	vascular tissue
<http://www.yso.fi/onto/yso/p10950>	asset management companies
<http://www.yso.fi/onto/yso/p37859>	carnation
<http://www.yso.fi/onto/yso/p25557>	pharmaceutical chemistry
<http://www.yso.fi/onto/yso/p16897>	dialogical analysis
<http://www.yso.fi/onto/yso/p27515>	communication theories
<http://www.yso.fi/onto/yso/p19313>	age discrimination
<http://www.yso.fi/onto/yso/p899>	soil physics
<http://www.yso.fi/onto/yso/p19128>	leg ulcer
<http://www.yso.fi/onto/yso/p30113>	quartets (ensembles)
<http://www.yso.fi/onto/yso/p3422>	disasters
<http://www.yso.fi/onto/yso/p107639>	Karakallio
<http://www.yso.fi/onto/yso/p12190>	pseudoscience
<http://www.yso.fi/onto/yso/p9135>	oxidation (active)
<http://www.yso.fi/onto/yso/p2926>	Vienna circle
<http://www.yso.fi/onto/yso/p19163>	study motivation
<http://www.yso.fi/onto/yso/p8927>	breakdown
<http://www.yso.fi/onto/yso/p23817>	sayings
<http://www.yso.fi/onto/yso/p7736>	dialectical behaviour therapy
<http://www.yso.fi/onto/yso/p5255>	salvation
<http://www.yso.fi/onto/yso/p25353>	Finnish Malaysians
<http://www.yso.fi/onto/yso/p8429>	Method Putkisto
<http://www.yso.fi/onto/yso/p17881>	debut authors
<http://www.yso.fi/onto/yso/p1120>	orienteering
<http://www.yso.fi/onto/yso/p14281>	promissory notes
<http://www.yso.fi/onto/yso/p17851>	bee culture (husbandry)
<http://www.yso.fi/onto/yso/p27996>	reindeer management areas
<http://www.yso.fi/onto/yso/p13570>	flirting
<http://www.yso.fi/onto/yso/p6654>	VDE
<http://www.yso.fi/onto/yso/p4602>	due process of law
<http://www.yso.fi/onto/yso/p20248>	municipal pensions
<http://www.yso.fi/onto/yso/p5311>	firework devices
<http://www.yso.fi/onto/yso/p11466>	copper ores
<http://www.yso.fi/onto/yso/p28676>	Microsoft Sharepoint
<http://www.yso.fi/onto/yso/p12883>	theme days
<http://www.yso.fi/onto/yso/p14834>	reproductions (cultural objects)
<http://www.yso.fi/onto/yso/p21026>	Low German language
<http://www.yso.fi/onto/yso/p6688>	meal service
<http://www.yso.fi/onto/yso/p29478>	common tern
<http://www.yso.fi/onto/yso/p13571>	Karelian identity
<http://www.yso.fi/onto/yso/p109350>	Nyenschantz
<http://www.yso.fi/onto/yso/p769>	vocal music
<http://www.yso.fi/onto/yso/p9385>	mica schist
<http://www.yso.fi/onto/yso/p3201>	environmental chemistry
<http://www.yso.fi/onto/yso/p29118>	Bengalis
<http://www.yso.fi/onto/yso/p326>	narcissistic personality
<http://www.yso.fi/onto/yso/p18547>	monotremes
<http://www.yso.fi/onto/yso/p20838>	MP3 players
<http://www.yso.fi/onto/yso/p20875>	space climate
<http://www.yso.fi/onto/yso/p9994>	cytostatic treatment
<http://www.yso.fi/onto/yso/p13100>	electrostatics
<http://www.yso.fi/onto/yso/p8655>	Declaration of Punta del Este
<http://www.yso.fi/onto/yso/p9654>	nature guides
<http://www.yso.fi/onto/yso/p28312>	tutors (private teachers)
<http://www.yso.fi/onto/yso/p13088>	heavy fuel oil
<http://www.yso.fi/onto/yso/p109867>	Puujoki
<http://www.yso.fi/onto/yso/p29998>	salon music
<http://www.yso.fi/onto/yso/p15887>	analytical chemistry
<http://www.yso.fi/onto/yso/p15275>	logarithmic tables
<http://www.yso.fi/onto/yso/p7770>	wood gas
<http://www.yso.fi/onto/yso/p12886>	creativity education
<http://www.yso.fi/onto/yso/p20140>	feminist aesthetics
<http://www.yso.fi/onto/yso/p20330>	mission secretaries
<http://www.yso.fi/onto/yso/p23214>	wire fox terrier
<http://www.yso.fi/onto/yso/p26482>	gardening advice
<http://www.yso.fi/onto/yso/p1434>	spirit (philosophical concepts)
<http://www.yso.fi/onto/yso/p11319>	Suzuki method
<http://www.yso.fi/onto/yso/p21175>	soft-coated wheaten terrier
<http://www.yso.fi/onto/yso/p4113>	stagecraft
<http://www.yso.fi/onto/yso/p19386>	motorboats
<http://www.yso.fi/onto/yso/p38025>	violin music
<http://www.yso.fi/onto/yso/p25207>	snorkelling
<http://www.yso.fi/onto/yso/p108739>	Chechen Republic
<http://www.yso.fi/onto/yso/p16175>	valleys
<http://www.yso.fi/onto/yso/p94417>	Sonkajärvi
<http://www.yso.fi/onto/yso/p12252>	United Nations Framework Convention on Climate Change
<http://www.yso.fi/onto/yso/p16398>	PFC compounds
<http://www.yso.fi/onto/yso/p11239>	depots
<http://www.yso.fi/onto/yso/p6259>	site types (biology)
<http://www.yso.fi/onto/yso/p21226>	prohibited books
<http://www.yso.fi/onto/yso/p5301>	reading disorders
<http://www.yso.fi/onto/yso/p16664>	new religious movements
<http://www.yso.fi/onto/yso/p18313>	animal physiology
<http://www.yso.fi/onto/yso/p27999>	Naga people
<http://www.yso.fi/onto/yso/p20042>	Microsoft Office
<http://www.yso.fi/onto/yso/p8094>	electrolytes
<http://www.yso.fi/onto/yso/p17305>	neurology
<http://www.yso.fi/onto/yso/p4911>	ships
<http://www.yso.fi/onto/yso/p24199>	elk crashes
<http://www.yso.fi/onto/yso/p18770>	urban construction
<http://www.yso.fi/onto/yso/p27933>	horce racing
<http://www.yso.fi/onto/yso/p19487>	nose
<http://www.yso.fi/onto/yso/p23205>	local interest magazines
<http://www.yso.fi/onto/yso/p7442>	right of redemption
<http://www.yso.fi/onto/yso/p9753>	races (sports contests)
<http://www.yso.fi/onto/yso/p19610>	church history
<http://www.yso.fi/onto/yso/p27744>	arts-based methods
<http://www.yso.fi/onto/yso/p20487>	coypu
<http://www.yso.fi/onto/yso/p30068>	castrati
<http://www.yso.fi/onto/yso/p19822>	Ostrobotnia building
<http://www.yso.fi/onto/yso/p94402>	Savonlinna
<http://www.yso.fi/onto/yso/p21223>	Sea Scouting
<http://www.yso.fi/onto/yso/p22179>	ribosomes
<http://www.yso.fi/onto/yso/p133163>	Tarttila
<http://www.yso.fi/onto/yso/p22377>	black bear
<http://www.yso.fi/onto/yso/p13514>	central hospitals
<http://www.yso.fi/onto/yso/p12091>	peace enforcement
<http://www.yso.fi/onto/yso/p3250>	odontology
<http://www.yso.fi/onto/yso/p27644>	artesian wells
<http://www.yso.fi/onto/yso/p6828>	heirs
<http://www.yso.fi/onto/yso/p13075>	Markov chains
<http://www.yso.fi/onto/yso/p24811>	PRF
<http://www.yso.fi/onto/yso/p18243>	fados
<http://www.yso.fi/onto/yso/p16435>	marital status
<http://www.yso.fi/onto/yso/p4125>	pedestrian and bicycle ways
<http://www.yso.fi/onto/yso/p26486>	raised bogs
<http://www.yso.fi/onto/yso/p4516>	learning centres
<http://www.yso.fi/onto/yso/p24906>	multi-symptom
<http://www.yso.fi/onto/yso/p22392>	satamaneuvokset (honorary titles)
<http://www.yso.fi/onto/yso/p7547>	occupational health nurses
<http://www.yso.fi/onto/yso/p11806>	teacher training institutes of vocational schools
<http://www.yso.fi/onto/yso/p25465>	hemispatial neglect
<http://www.yso.fi/onto/yso/p28160>	lobbyists
<http://www.yso.fi/onto/yso/p12305>	sulphur
<http://www.yso.fi/onto/yso/p5510>	chamber choirs
<http://www.yso.fi/onto/yso/p15614>	CA-DISSPLA
<http://www.yso.fi/onto/yso/p176831>	Kalevala
<http://www.yso.fi/onto/yso/p27970>	dancehall (dance)
<http://www.yso.fi/onto/yso/p14152>	raccoon dog
<http://www.yso.fi/onto/yso/p429>	inductors (electrical devices)
<http://www.yso.fi/onto/yso/p21066>	aid policy
<http://www.yso.fi/onto/yso/p17951>	cri-du-chat syndrome
<http://www.yso.fi/onto/yso/p29268>	Tai-Kadai languages
<http://www.yso.fi/onto/yso/p18144>	Prader-Willi syndrome
<http://www.yso.fi/onto/yso/p4833>	portable computers
<http://www.yso.fi/onto/yso/p22794>	self
<http://www.yso.fi/onto/yso/p10360>	internal security
<http://www.yso.fi/onto/yso/p20610>	doctors honoris causa
<http://www.yso.fi/onto/yso/p21023>	Villa Snäcksund
<http://www.yso.fi/onto/yso/p14193>	pain
<http://www.yso.fi/onto/yso/p29592>	hallucinogens
<http://www.yso.fi/onto/yso/p3981>	industrial employees
<http://www.yso.fi/onto/yso/p8254>	sexual disorders
<http://www.yso.fi/onto/yso/p26932>	Lauttasaari manor
<http://www.yso.fi/onto/yso/p18196>	folk dances
<http://www.yso.fi/onto/yso/p1039>	ideals
<http://www.yso.fi/onto/yso/p15445>	Estonian language
<http://www.yso.fi/onto/yso/p212862>	Pakkala
<http://www.yso.fi/onto/yso/p27019>	Koski manor
<http://www.yso.fi/onto/yso/p11186>	mail carriers
<http://www.yso.fi/onto/yso/p27454>	Sinhalese people
<http://www.yso.fi/onto/yso/p38112>	combs
<http://www.yso.fi/onto/yso/p133166>	Pirunvuori
<http://www.yso.fi/onto/yso/p27241>	pre-ferments
<http://www.yso.fi/onto/yso/p26787>	face shields
<http://www.yso.fi/onto/yso/p20996>	M-theory
<http://www.yso.fi/onto/yso/p2259>	family life
<http://www.yso.fi/onto/yso/p112201>	Lappohja
<http://www.yso.fi/onto/yso/p26769>	hyppyherätys
<http://www.yso.fi/onto/yso/p4722>	cellulitis
<http://www.yso.fi/onto/yso/p9240>	parody
<http://www.yso.fi/onto/yso/p9595>	Collema
<http://www.yso.fi/onto/yso/p24361>	speed skaters
<http://www.yso.fi/onto/yso/p17917>	information flows
<http://www.yso.fi/onto/yso/p15840>	October Revolution
<http://www.yso.fi/onto/yso/p2092>	traineeship posts
<http://www.yso.fi/onto/yso/p16506>	lactose intolerance
<http://www.yso.fi/onto/yso/p13405>	Saint Lucy's Day
<http://www.yso.fi/onto/yso/p17284>	retinoschisis
<http://www.yso.fi/onto/yso/p466>	technical inspection
<http://www.yso.fi/onto/yso/p4736>	motivation (activity)
<http://www.yso.fi/onto/yso/p149209>	Maltiojoki
<http://www.yso.fi/onto/yso/p1589>	nests
<http://www.yso.fi/onto/yso/p3322>	work try-out
<http://www.yso.fi/onto/yso/p1321>	indexes (directories)
<http://www.yso.fi/onto/yso/p193381>	Little Belt
<http://www.yso.fi/onto/yso/p8065>	Merya people
<http://www.yso.fi/onto/yso/p28433>	bioactive compounds
<http://www.yso.fi/onto/yso/p13479>	system theory
<http://www.yso.fi/onto/yso/p19408>	shortwave telephones
<http://www.yso.fi/onto/yso/p27625>	river cruises
<http://www.yso.fi/onto/yso/p452>	public health
<http://www.yso.fi/onto/yso/p22083>	muay Thai
<http://www.yso.fi/onto/yso/p15295>	cyclotrons
<http://www.yso.fi/onto/yso/p21599>	immune response
<http://www.yso.fi/onto/yso/p38208>	Asian Americans
<http://www.yso.fi/onto/yso/p19722>	tachographs
<http://www.yso.fi/onto/yso/p3922>	liability for damages
<http://www.yso.fi/onto/yso/p98845>	Silk Road
<http://www.yso.fi/onto/yso/p25458>	specialisation studies
<http://www.yso.fi/onto/yso/p12378>	gospel
<http://www.yso.fi/onto/yso/p4625>	Bronze Age
<http://www.yso.fi/onto/yso/p6522>	road building
<http://www.yso.fi/onto/yso/p27433>	sewing materials
<http://www.yso.fi/onto/yso/p10901>	environmental sciences
<http://www.yso.fi/onto/yso/p18212>	industrial property agents
<http://www.yso.fi/onto/yso/p17214>	poikkeuskoulutus
<http://www.yso.fi/onto/yso/p655>	protectionism
<http://www.yso.fi/onto/yso/p6060>	tribes
<http://www.yso.fi/onto/yso/p12863>	neptunium
<http://www.yso.fi/onto/yso/p25015>	turnkey
<http://www.yso.fi/onto/yso/p15133>	preparatory education
<http://www.yso.fi/onto/yso/p3601>	shielding
<http://www.yso.fi/onto/yso/p16765>	anesthesiologists
<http://www.yso.fi/onto/yso/p3537>	book reviews
<http://www.yso.fi/onto/yso/p14597>	Methodism
<http://www.yso.fi/onto/yso/p37814>	authorial image
<http://www.yso.fi/onto/yso/p25592>	war journalism
<http://www.yso.fi/onto/yso/p10005>	House of Estates (Helsinki)
<http://www.yso.fi/onto/yso/p5304>	personality tests
<http://www.yso.fi/onto/yso/p20129>	Incas
<http://www.yso.fi/onto/yso/p23300>	trainees
<http://www.yso.fi/onto/yso/p175022>	Smedjebacken
<http://www.yso.fi/onto/yso/p28247>	cosmopolitanism
<http://www.yso.fi/onto/yso/p10761>	living conditions
<http://www.yso.fi/onto/yso/p22451>	criminal psychologists
<http://www.yso.fi/onto/yso/p28867>	Cuban Americans
<http://www.yso.fi/onto/yso/p13373>	Karelians
<http://www.yso.fi/onto/yso/p8802>	observation
<http://www.yso.fi/onto/yso/p17611>	duels
<http://www.yso.fi/onto/yso/p7768>	Corel WordPerfect Suite
<http://www.yso.fi/onto/yso/p19021>	compensation for clearing land for cultivation
<http://www.yso.fi/onto/yso/p37908>	Saint Nicholas Church (Joensuu)
<http://www.yso.fi/onto/yso/p2709>	medical procedures
<http://www.yso.fi/onto/yso/p110632>	Kuohattijärvi
<http://www.yso.fi/onto/yso/p15530>	democratisation
<http://www.yso.fi/onto/yso/p25708>	Lahti Poetry Marathon
<http://www.yso.fi/onto/yso/p21409>	Act on Unemployment Security
<http://www.yso.fi/onto/yso/p22273>	capsules (pharmacy)
<http://www.yso.fi/onto/yso/p29789>	soca
<http://www.yso.fi/onto/yso/p10039>	interest on arrears
<http://www.yso.fi/onto/yso/p5332>	women's studies
<http://www.yso.fi/onto/yso/p17389>	currency reform
<http://www.yso.fi/onto/yso/p11792>	learning ability
<http://www.yso.fi/onto/yso/p17752>	terminal care
<http://www.yso.fi/onto/yso/p19727>	tales of magic
<http://www.yso.fi/onto/yso/p7627>	terrariums
<http://www.yso.fi/onto/yso/p19552>	pre-emption
<http://www.yso.fi/onto/yso/p21733>	activism
<http://www.yso.fi/onto/yso/p14755>	oligarchy
<http://www.yso.fi/onto/yso/p1013>	proofs of God's existence
<http://www.yso.fi/onto/yso/p204779>	Perno
<http://www.yso.fi/onto/yso/p10545>	hydraulics
<http://www.yso.fi/onto/yso/p717>	hospital districts
<http://www.yso.fi/onto/yso/p16870>	image analysis
<http://www.yso.fi/onto/yso/p11388>	school phobia
<http://www.yso.fi/onto/yso/p1208>	Russians
<http://www.yso.fi/onto/yso/p11276>	Hittites
<http://www.yso.fi/onto/yso/p94399>	Satakunta
<http://www.yso.fi/onto/yso/p147486>	Vihtavuori
<http://www.yso.fi/onto/yso/p24447>	fitness boxing
<http://www.yso.fi/onto/yso/p25870>	optical properties
<http://www.yso.fi/onto/yso/p17148>	Ylistalo house
<http://www.yso.fi/onto/yso/p29867>	scratching (music)
<http://www.yso.fi/onto/yso/p6337>	overtime work
<http://www.yso.fi/onto/yso/p1932>	wilderness guides (literary works)
<http://www.yso.fi/onto/yso/p20816>	demographic development
<http://www.yso.fi/onto/yso/p94221>	Korpo
<http://www.yso.fi/onto/yso/p11511>	physiological effects
<http://www.yso.fi/onto/yso/p1166>	kerosene
<http://www.yso.fi/onto/yso/p7549>	molecular biology
<http://www.yso.fi/onto/yso/p6799>	glacial geology
<http://www.yso.fi/onto/yso/p173943>	Västernorrland County
<http://www.yso.fi/onto/yso/p19048>	folklore genre analysis
<http://www.yso.fi/onto/yso/p22667>	lecturing
<http://www.yso.fi/onto/yso/p11190>	recovery (recapture)
<http://www.yso.fi/onto/yso/p23848>	pedagogical thinking
<http://www.yso.fi/onto/yso/p3088>	shrinkage
<http://www.yso.fi/onto/yso/p332>	explaining
<http://www.yso.fi/onto/yso/p15938>	premature infants
<http://www.yso.fi/onto/yso/p18893>	visual display terminal work
<http://www.yso.fi/onto/yso/p11733>	schoolwork
<http://www.yso.fi/onto/yso/p11848>	party newspapers
<http://www.yso.fi/onto/yso/p3109>	Eastern philosophy
<http://www.yso.fi/onto/yso/p5656>	Nemertea
<http://www.yso.fi/onto/yso/p19725>	Ethnograph
<http://www.yso.fi/onto/yso/p17574>	epoxy
<http://www.yso.fi/onto/yso/p5438>	discontinuation
<http://www.yso.fi/onto/yso/p6708>	powders
<http://www.yso.fi/onto/yso/p20369>	aglycones
<http://www.yso.fi/onto/yso/p28573>	history plays
<http://www.yso.fi/onto/yso/p106045>	Päijänne Tavastia
<http://www.yso.fi/onto/yso/p25880>	savoury snacks
<http://www.yso.fi/onto/yso/p23660>	bracelets
<http://www.yso.fi/onto/yso/p17405>	brass
<http://www.yso.fi/onto/yso/p16528>	evolutionary ecology
<http://www.yso.fi/onto/yso/p8728>	division (passive)
<http://www.yso.fi/onto/yso/p28558>	boccia
<http://www.yso.fi/onto/yso/p209902>	New Jersey
<http://www.yso.fi/onto/yso/p20390>	volunteers
<http://www.yso.fi/onto/yso/p10316>	cecum
<http://www.yso.fi/onto/yso/p3879>	biological anthropology
<http://www.yso.fi/onto/yso/p213062>	Kastu
<http://www.yso.fi/onto/yso/p17415>	mambo (dance music)
<http://www.yso.fi/onto/yso/p14116>	refugee literature
<http://www.yso.fi/onto/yso/p28953>	personal narrative
<http://www.yso.fi/onto/yso/p23395>	Buteo buteo
<http://www.yso.fi/onto/yso/p2848>	household economy
<http://www.yso.fi/onto/yso/p107685>	Rekola
<http://www.yso.fi/onto/yso/p108780>	Livonia
<http://www.yso.fi/onto/yso/p18284>	sexual rights
<http://www.yso.fi/onto/yso/p24838>	Gestalt theory
<http://www.yso.fi/onto/yso/p6838>	switches
<http://www.yso.fi/onto/yso/p7273>	Heaven
<http://www.yso.fi/onto/yso/p23603>	Håkansböle manor
<http://www.yso.fi/onto/yso/p14899>	sport fishing
<http://www.yso.fi/onto/yso/p38029>	railway track charges
<http://www.yso.fi/onto/yso/p131238>	Republic of the Congo
<http://www.yso.fi/onto/yso/p15460>	forest resources
<http://www.yso.fi/onto/yso/p15377>	rodeo
<http://www.yso.fi/onto/yso/p20098>	functional methods
<http://www.yso.fi/onto/yso/p15870>	self-efficacy
<http://www.yso.fi/onto/yso/p94210>	Kirkkonummi
<http://www.yso.fi/onto/yso/p24856>	face painting
<http://www.yso.fi/onto/yso/p17562>	securities portfolios
<http://www.yso.fi/onto/yso/p17875>	codependency
<http://www.yso.fi/onto/yso/p36440>	sport-specific training
<http://www.yso.fi/onto/yso/p5629>	unmarried mothers
<http://www.yso.fi/onto/yso/p12827>	assistants (general)
<http://www.yso.fi/onto/yso/p7515>	downsizing
<http://www.yso.fi/onto/yso/p3830>	theology
<http://www.yso.fi/onto/yso/p3892>	pride
<http://www.yso.fi/onto/yso/p5316>	objects related to storage
<http://www.yso.fi/onto/yso/p9815>	information management
<http://www.yso.fi/onto/yso/p13827>	boards (building supplies)
<http://www.yso.fi/onto/yso/p21337>	tautology
<http://www.yso.fi/onto/yso/p2545>	brown algae
<http://www.yso.fi/onto/yso/p11713>	degree requirements
<http://www.yso.fi/onto/yso/p24464>	materials handling
<http://www.yso.fi/onto/yso/p24753>	International Year for the Rapprochement of Cultures
<http://www.yso.fi/onto/yso/p139501>	Söörmarkku
<http://www.yso.fi/onto/yso/p10405>	shipwrecks (marine accidents)
<http://www.yso.fi/onto/yso/p4581>	declaration of death
<http://www.yso.fi/onto/yso/p107720>	Salt Lake City
<http://www.yso.fi/onto/yso/p16746>	youth unemployment
<http://www.yso.fi/onto/yso/p13612>	greater prairie chicken
<http://www.yso.fi/onto/yso/p27261>	plant proteins
<http://www.yso.fi/onto/yso/p11808>	picture books (children's books)
<http://www.yso.fi/onto/yso/p28687>	memory games
<http://www.yso.fi/onto/yso/p19258>	Suomusjärvi culture
<http://www.yso.fi/onto/yso/p24775>	parent nights
<http://www.yso.fi/onto/yso/p106419>	Colombia
<http://www.yso.fi/onto/yso/p105448>	Jyväskylän maalaiskunta
<http://www.yso.fi/onto/yso/p4380>	due diligence
<http://www.yso.fi/onto/yso/p7700>	rural population
<http://www.yso.fi/onto/yso/p15735>	hedgehogs
<http://www.yso.fi/onto/yso/p4451>	clothing industry
<http://www.yso.fi/onto/yso/p19272>	physioacoustic method
<http://www.yso.fi/onto/yso/p17966>	PC ARC/INFO
<http://www.yso.fi/onto/yso/p20901>	Non-Discrimination Act
<http://www.yso.fi/onto/yso/p23383>	family centres
<http://www.yso.fi/onto/yso/p22353>	digital games
<http://www.yso.fi/onto/yso/p8594>	global governance
<http://www.yso.fi/onto/yso/p4576>	supplies
<http://www.yso.fi/onto/yso/p9740>	peer review (assessment methods)
<http://www.yso.fi/onto/yso/p5326>	conductors (music)
<http://www.yso.fi/onto/yso/p14530>	Windows 98
